,Neutral Citation,Citation,Citation ID
1070,2021_IECA_337,2020_IECA_132,35691
1071,2021_IECA_337,2021_IECA_93,15351
1072,2021_IECA_337,1989_BCLC_626,12537
1073,2021_IECA_337,2017_IESC_6,22092
1074,2021_IECA_337,1989_BCLC_100,50500
1075,2021_IECA_337,2011_IEHC_170,30935
1076,2021_IECA_337,2012_IEHC_236,45455
1077,2021_IECA_337,2007_IEHC_144,22591
1078,2021_IECA_337,2005_IEHC_111,54325
1079,2021_IECA_337,2016_IEHC_697,15480
1080,2021_IECA_337,2015_IESC_103,23819
1081,2021_IECA_337,2017_IECA_163,57381
1082,2021_IECA_337,2011_IEHC_117,44471
1083,2021_IECA_337,2018_IESC_33,16179
1084,2021_IECA_337,2020_IECA_28,4374
1085,2021_IECA_337,2017_IEHC_319,23899
1086,2021_IECA_337,2018_IECA_113,16577
1087,2021_IECA_337,2019_IESC_74,29144
1088,2021_IECA_337,2015_IESC_88,36323
1123,2021_IECA_350,2019_IECA_260,33527
1124,2021_IECA_350,2020_IECA_353,6363
1125,2021_IECA_350,2020_IECA_10,53322
1126,2021_IECA_350,2014_IECA_57,63325
1131,2021_IEHC_713,2014_IESC_32,64641
1133,2021_IEHC_733,2021_IEHC_369,64566
1134,2021_IEHC_733,2021_IEHC_612,5272
1135,2021_IEHC_733,2009_IEHC_346,52913
1136,2021_IEHC_733,2014_IEHC_400,63607
1137,2021_IEHC_733,2017_IESC_60,6337
1138,2021_IEHC_733,2019_IEHC_384,4708
1139,2021_IEHC_733,2020_IECA_268,20418
1140,2021_IEHC_733,2021_IEHC_58,7074
1149,2021_IEHC_737,2019_IEHC_486,53159
1150,2021_IEHC_737,2019_IESC_50,41457
1151,2021_IEHC_737,2020_IESC_60,25
1152,2021_IEHC_737,2012_IEHC_23,33800
1157,2021_IEHC_741,2019_IESC_84,62528
1158,2021_IEHC_741,2009_IEHC_512,34628
1159,2021_IEHC_741,2013_IEHC_387,64189
1163,2021_IEHC_744,2021_IEHC_164,49937
1164,2021_IEHC_744,2021_IEHC_11,55014
1165,2021_IEHC_744,2017_IEHC_653,47226
1169,2021_IEHC_746,2019_IESC_28,16064
1170,2021_IEHC_746,2015_IEHC_591,33459
1171,2021_IEHC_746,2018_IEHC_379,36666
1172,2021_IEHC_746,2013_IEHC_43,58982
1173,2021_IEHC_746,2020_IEHC_420,6628
1174,2021_IEHC_746,2019_IECA_184,62621
